Plu_No,SalesMode,UnitPrice,Weight,PackQuant,Tare,DateFlag,ShelfLife,ExMessage1,PosCode,Posflag,PosSelect,OpenPrice,FreeMsg1,FreeMsg2,FreeMsg3,FreeMsg4,FreeMsg5,FreeMsg6,FreeMsg7,FreeMsg8,FreeMsg9,FreeMsg10,FreeMsg11,FreeMsg12,FreeMsg13,FreeMsg14,FreeMsg15,Logo1,TargetLimitLevel3,WindowsFontId,TargetLimitLevel2,IngredPrintFlag,Ean128CodeType,LotNo,PosCode2,CustomText,3rdLabelNo,3rdLabelFlag,TrayHold,TrayFeedStop,EslDispPattern,RankMaster,SubLabelPrint,TrayCentering,LockFlag,PresetGroup,BarcodePrint,TrayHeightAutoDetect,IXResavationNo,JulianDateFlag,PriceGroup1,PriceGroup2,PriceGroup3,PriceGroup4,PriceGroup5,LabelFormatNoPrep,Upper1CassetteCheck,BoxQuant,PlantSymbol,UnderCassetteCheck,LabelFormatNo3,PackedPlant,RecycleMark,Upper2PrintPos,PrinterSel,WarningWeight,T2Weight,Upper2CassetteCheck,Upper1PrintPos,PhotoNo,BestBeforeTime,Upper2LabelNo,BestBeforeTimeFlag,ThirdPluNo,T1Weight,Caloriy_No,MDNo,PrinterHeight,UpperWeight,Nominal,LinkPluNo,DepositFlag,MarkPrice,MarkFlag,TaxMode,TaxRate,ExMessage2,ExMessage3,PointType,PointFlag,Points,SafeHandlingFlag,FeeFlag,TraceFlag,TargetLimit,SchemeNo,CookingNo,Fee,TargetFlag,CostPrice,DeptCode,GroupCode,ItemCode,PopMsg,Coupon,TimeFlag,PackTime,ExpTimeFlag,ExpTime,SecondPrice,ImageNo,Logo3,Unit,BestBeforeFlag,BestBefore,RegCode,SafeHandlingNo,ForcedTare,No2PrintFlag,WrappingMode,WrappingSpeed,Volume,LabellingPos,Rotate,BarCodeNum,TotalsFlag,TopPrintFlag,BottomPrintFlag,EyeCatchPrintFlag,TopBarFlag,PrintFlag,TrayFlag,PopFlag,TopTypeFlag,CostPriceFlag,ServeHeight,LabellingMode,Wrapping,PosFlagSelect,SecondBotPrintFlag,FeedRate,StockFlag,Random,SalesLife,Logo2,PropTare,StoreId,LabelFormatNo1,LabelFormatNo2,No2Tare,UpperLimit,LowerLimit,TrayNo,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Line8,Line9,Line10,Line11,Line12,Line13,Line14,Line15,Line16,Line17,Line18,Line19,Line20
551,0,4999,0,0,5,3,5,0,"551",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,551,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"NEW YORK STEAK","","","","","","","","","","","","","","","","","","",""
552,0,5999,0,0,5,3,5,0,"552",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,552,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"SCOTCH FILLET STEAK","","","","","","","","","","","","","","","","","","",""
553,0,6999,0,0,5,3,5,0,"553",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,553,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"EYE FILLET STEAK","","","","","","","","","","","","","","","","","","",""
554,0,3999,0,0,5,3,5,0,"554",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,554,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"RUMP STEAK","","","","","","","","","","","","","","","","","","",""
555,0,3999,0,0,5,3,5,0,"555",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,555,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"T-BONE STEAK","","","","","","","","","","","","","","","","","","",""
556,0,2499,0,0,5,3,5,0,"556",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,556,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"TOPSIDE STEAK","","","","","","","","","","","","","","","","","","",""
557,0,2999,0,0,5,3,5,0,"557",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,557,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"MINUTE STEAK","","","","","","","","","","","","","","","","","","",""
558,0,1999,0,0,5,3,5,0,"558",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,558,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"BBQ STEAK","","","","","","","","","","","","","","","","","","",""
559,0,2499,0,0,5,3,5,0,"559",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,559,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"BLADE STEAK","","","","","","","","","","","","","","","","","","",""
560,0,2799,0,0,5,3,183,0,"560",42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,560,0,0,0,0,0,0,0,0,100,0,2,14,0,0,2,0,1,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"BEEF CHEEKS","","","","","","","","","","","","","","","","","","",""
